,Description,Cost
1,Tiffany Bracelet,459.0
2,Tiffany Bracelet,582.0
3,14K Rounded Rectangle LV Bracelet,771.0
4,Bracelet 17.4gm*56.75,987.45
6,No Clasp 6.5inches 6.8gm *56,380.8
7,Adjustable Chain ball 1.3gm*51,66.3
8,Bracelet - 7 1/2 - 4.2gm*56,235.2
9,Bracelet 8 inches Jumbo Paper clip 7.8gm *56,436.8
10,Bracelet 7 3/4 inches 10.4gm*42,436.8
13,Bracelet Pomelato 9 inches 17.5 *56.75,993.12
14,Bracelet Pink Invoice MD 31043,223.3
15,Bracelet,537.5
18,"14k , D Marpus0.71 to 0.80(5) 3.65ct
DPrincess 0.71 to 0.80 (3) 2.11ct
DOval 0.71 to 0.80 (3) 2.2
DC 0.81 to 0.99ct(2) 1.6g
DC 0.71 to 0.80 (2) 1.45
D assscher 0.71 to 0.80  (0.73) = Total 11,09K",15000.0
19,"Evil eye bracelet ,Diamond and malachile 0.36ct",483.0
20,"Evil eye bracelet ,Diamond and lapis lazuli 0.36ct",483.0
21,"Evil eye Green Amethyst, Diamond and emerald Bracelet 14K",317.0
22,"Evil eye, Purple Amethyst, Diamond and Ruby Bracelet 14K",261.0
23,"Evil eye, Small diamonds 14k-0.17- 12.4mm",266.0
24,"Be happy Bracelet with hearts 14k, !cm width 0.78ct",1369.0
25,"Be happy Bracelet with hearts 14k, !cm width 0.58ct",1119.0
26,I Love You bracelet with hearts 14k 6.5mm 0.50ct,1000.0
27,I Love You bracelet with hearts 14k 6.5mm 0.30ct,770.0
28,Inspire bracelet 0.46ct,874.0
30,"Believe Cuff, 14k, 0.30ct",1345.0
31,Namaste necklace or bracelet,594.0
32,"Evil Eye/Good Vibes bracelet
link chain #9 18k",907.0
33,"Sunburst/Shine bracelet
link chain #9 18k",997.0
34,"Smile /Live & Laugh bracelet
link chain #9 18k",1146.5
35,"Evil eye bracelet diamond
and onix - 0.36ct",483.0
36,"Inicial block letter plain gold two bezel
diamonds bracelet 14k",165.0
37,"Block letter initial in diamonds - 14k
bracelet",178.0
38,"Three initials plain 14k gold with 2 bezel
diamonds bracelet",255.0
39,"3 block diamond letters 14k - bracelet
6.5mm",378.0
42,Bangle one block letter initial diamond,780.0
43,"Bracelet with rolo chain and 2 large 8mm
letters 14k ",391.0
47,"Disc bracelet with diamond engraved
letter14k 13mm",230.0
48,"“Fear is not an option” bracelet with
diamonds",1248.5
49,Diamond band 0.75ct 1.8mm,475.0
50,Diamond band with black diamonds 0.34ct 1.3mm,193.2
51,Diamond band 0.34ct 1.3mm,319.0
52,Bracelet 4.7gm *55,258.5
53,Bracelet 5.9gm *55,324.5
54,Bracelet 7.2gm *55,396.0
55,Bracelet 4.6gm *55,253.0
56,White ,600.0
57,Yellow,600.0
58,pink,600.0
59,3 Ct,2047.0
60,3.25 ct,1625.0
61,3.11ct,1555.0
62,1.80ct,900.0
63,8.02ct 18 to 19 peach ,5814.5
64,"7.13ct, 48 stones
14.5 to 15 point each",4991.0
65,"6.16ct , 49 stones, 12.5 point each stone",4004.0
